sku,name,category,unit_price,stock_qty,barcode,description,cost_price,unit_type
PAP-0001,Cuaderno Profesional Cuadro Chico 100 hojas,Cuadernos y libretas,28.5,120,7501234500011,"Pasta dura, cuadro chico de 5mm",17.0,piece
PAP-0002,Cuaderno Profesional Cuadro Chico 200 hojas,Cuadernos y libretas,45.0,80,7501234500012,"Pasta dura, doble grosor",28.0,piece
PAP-0003,Cuaderno Profesional Cuadro Grande 100 hojas,Cuadernos y libretas,28.5,95,7501234500013,,17.0,piece
PAP-0004,Cuaderno Profesional Raya 100 hojas,Cuadernos y libretas,27.0,90,7501234500014,,16.5,piece
PAP-0005,Cuaderno Universitario Cuadro Chico 100 hojas,Cuadernos y libretas,22.0,110,7501234500015,"Argollado, perforado 3 hoyos",13.5,piece
PAP-0006,Cuaderno Universitario Raya 100 hojas,Cuadernos y libretas,22.0,100,7501234500016,,13.5,piece
PAP-0007,Libreta Italiana Cuadro Chico 100 hojas,Cuadernos y libretas,24.0,60,7501234500017,Forma italiana (apaisada),15.0,piece
PAP-0008,Cuaderno Cosido Colegial Cuadro 100 hojas,Cuadernos y libretas,15.0,150,7501234500018,Pasta blanda económica,9.0,piece
PAP-0009,Libreta de Taquigrafía,Cuadernos y libretas,18.0,40,7501234500019,,11.0,piece
PAP-0010,Cuaderno de Dibujo Sin Renglón 100 hojas,Cuadernos y libretas,32.0,55,7501234500020,Hoja blanca gruesa para dibujo,20.0,piece
PAP-0011,Libreta de Notas Bolsillo,Cuadernos y libretas,12.0,200,7501234500021,,6.5,piece
PAP-0012,Agenda Escolar 2026-2027,Cuadernos y libretas,65.0,45,7501234500022,Ciclo escolar completo,40.0,piece
PAP-0101,Lápiz del Número 2 (pieza),Escritura,3.5,500,7501234501011,,1.8,piece
PAP-0102,Caja de Lápices del Número 2 (12 pzas),Escritura,35.0,60,7501234501012,,20.0,box
PAP-0103,Pluma Tinta Azul Punto Mediano,Escritura,6.0,400,7501234501013,,2.5,piece
PAP-0104,Pluma Tinta Negra Punto Mediano,Escritura,6.0,380,7501234501014,,2.5,piece
PAP-0105,Pluma Tinta Roja Punto Mediano,Escritura,6.0,150,7501234501015,,2.5,piece
PAP-0106,Set de Plumones para Pizarrón Blanco (4 colores),Escritura,55.0,35,7501234501016,,32.0,package
PAP-0107,Plumón Permanente Punto Fino Negro,Escritura,12.0,90,7501234501017,,6.0,piece
PAP-0108,Marcatextos Resaltador Amarillo,Escritura,9.5,180,7501234501018,,4.5,piece
PAP-0109,Set de Resaltadores 5 Colores,Escritura,48.0,50,7501234501019,,28.0,package
PAP-0110,Portaminas 0.5mm,Escritura,22.0,70,7501234501020,,12.0,piece
PAP-0111,Minas 0.5mm HB (tubo 12 pzas),Escritura,14.0,85,7501234501021,,7.0,package
PAP-0112,Pluma Gel Punto Fino Negro,Escritura,10.0,140,7501234501022,,5.0,piece
PAP-0201,Colores de Madera Caja 12 piezas,Colores y arte,38.0,130,7501234502011,,22.0,box
PAP-0202,Colores de Madera Caja 24 piezas,Colores y arte,68.0,90,7501234502012,,42.0,box
PAP-0203,Colores Triangulares Caja 12 piezas,Colores y arte,42.0,75,7501234502013,Ergonómicos para niños,26.0,box
PAP-0204,Crayones de Cera Caja 12 piezas,Colores y arte,25.0,110,7501234502014,,14.0,box
PAP-0205,Plastilina 12 Colores,Colores y arte,30.0,95,7501234502015,,17.0,box
PAP-0206,Acuarelas 12 Colores con Pincel,Colores y arte,45.0,60,7501234502016,,26.0,box
PAP-0207,Set de Pinceles Punta Redonda (5 pzas),Colores y arte,35.0,50,7501234502017,,20.0,package
PAP-0208,Foamy Hoja Tamaño Carta (colores surtidos),Colores y arte,4.5,300,7501234502018,Precio por hoja individual,2.0,piece
PAP-0209,Diamantina Frasco Chico,Colores y arte,8.0,120,7501234502019,,3.5,piece
